1.3600,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
1.4000,2.2400,0.0000,0.0000,0.0000,0.0175,0.9998,
1.4400,2.2400,0.0000,0.0000,0.0000,0.0175,0.9998,
1.4800,2.2400,0.0000,0.0000,0.0000,0.0175,0.9998,
1.5200,2.2400,0.0000,0.0000,0.0000,0.0175,0.9998,
1.5600,2.2400,0.0000,0.0000,0.0000,0.0175,0.9998,
1.6000,2.2400,0.0000,0.0000,0.0000,0.0087,1.0000,
1.6400,2.2400,0.0000,0.0000,0.0000,-0.0000,1.0000,
1.6800,2.2400,0.0000,0.0000,0.0000,-0.0000,1.0000,
1.7200,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
1.7600,2.2400,0.0000,0.0000,0.0000,-0.0175,0.9998,
1.8000,2.2400,0.0000,0.0000,0.0000,-0.0175,0.9998,
1.8400,2.2400,0.0000,0.0000,0.0000,-0.0262,0.9997,
1.8800,2.2400,0.0000,0.0000,0.0000,-0.0262,0.9997,
1.9200,2.2400,0.0000,0.0000,0.0000,-0.0262,0.9997,
1.9600,2.2400,0.0000,0.0000,0.0000,-0.0349,0.9994,
2.0000,2.2400,0.0000,0.0000,0.0000,-0.0349,0.9994,
2.0400,2.2400,0.0000,0.0000,0.0000,-0.0349,0.9994,
2.0800,2.2400,0.0000,0.0000,0.0000,-0.0262,0.9997,
2.1200,2.2400,0.0000,0.0000,0.0000,-0.0175,0.9998,
2.1600,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
2.2000,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
2.2400,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
2.2800,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
2.3200,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
2.3600,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
2.4000,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
2.4400,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
2.4800,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
2.5200,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
2.5600,2.2400,0.0000,0.0000,0.0000,-0.0000,1.0000,
2.6000,2.2400,0.0000,0.0000,0.0000,0.0087,1.0000,
2.6400,2.2400,0.0000,0.0000,0.0000,0.0175,0.9998,
2.6800,2.2400,0.0000,0.0000,0.0000,0.0262,0.9997,
2.7200,2.2400,0.0000,0.0000,0.0000,0.0262,0.9997,
2.7600,2.2400,0.0000,0.0000,0.0000,0.0175,0.9998,
2.8000,2.2400,0.0000,0.0000,0.0000,0.0087,1.0000,
2.8400,2.2400,0.0000,0.0000,0.0000,0.0087,1.0000,
2.8800,2.2400,0.0000,0.0000,0.0000,0.0087,1.0000,
2.9200,2.2400,0.0000,0.0000,0.0000,-0.0000,1.0000,
2.9600,2.2400,0.0000,0.0000,0.0000,-0.0000,1.0000,
3.0000,2.2400,0.0000,0.0000,0.0000,-0.0000,1.0000,
3.0400,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
3.0800,2.2400,0.0000,0.0000,0.0000,-0.0087,1.0000,
3.1200,2.2400,0.0000,0.0000,0.0000,-0.0262,0.9997,
3.1600,2.2400,0.0000,0.0000,0.0000,-0.0349,0.9994,
3.2000,2.2400,0.0000,0.0000,0.0000,-0.0785,0.9969,
3.2400,2.2400,0.0000,0.0000,0.0000,-0.1478,0.9890,
3.2800,2.2400,0.0000,0.0000,0.0000,-0.2250,0.9744,
